SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
NOVT,101.55,Miscellaneous,89.08,71.11,1.14,0.07,2.14,3.0
EHTH,108.87,Finance,36.41,47.57,2.99,0.05,3.5,1.6
EEFT,96.38,Finance,17.03,96.1,5.66,0.1,6.65,1.14
GDOT,38.73,Finance,25.31,45.03,1.53,0.05,2.33,2.21
HSBC,24.06,Finance,26.73,14.02,0.9,1.02,3.9,3.71
MMI,29.33,Finance,15.6,52.84,1.88,0.05,1.95,4.0
PMBC,3.55,Finance,32.27,71.2,0.11,0.07,0.24,3.0
CHDN,133.51,Consumer%2bServices,53.4,92.6,2.5,0.09,4.43,1.0
STAY,11.85,Consumer%2bServices,43.89,62.68,0.27,0.06,0.95,2.2
HGV,21.0,Consumer%2bServices,10.82,57.89,1.94,0.06,2.11,2.6
TITN,10.06,Consumer%2bServices,13.41,85.58,0.75,0.09,0.79,2.33
MTN,182.34,Consumer%2bServices,46.52,64.89,3.92,0.06,7.55,2.0
CGNX,56.85,Capital%2bGoods,51.68,96.54,1.1,0.1,1.16,3.21
PLOW,35.76,Capital%2bGoods,21.16,48.28,1.69,0.05,2.31,2.33
THRM,39.46,Capital%2bGoods,31.82,50.09,1.24,0.05,2.34,1.8
LCII,114.68,Capital%2bGoods,20.59,50.49,5.57,0.05,5.84,1.83
HEAR,14.445,Capital%2bGoods,21.89,98.73,0.66,0.1,0.74,1.5
USCR,26.09,Capital%2bGoods,29.99,85.94,0.87,0.09,0.91,2.67
XPEL,17.08,Capital%2bGoods,34.16,45.31,0.5,0.05,0.51,1.0
CWST,48.07,Public%2bUtilities,66.76,92.46,0.72,0.09,0.85,2.2
NTGR,24.96,Public%2bUtilities,92.44,50.71,0.27,0.05,0.81,2.2
GCP,17.51,Basic%2bIndustries,47.32,85.67,0.37,0.09,0.81,3.0
IRMD,23.55,Health%2bCare,30.58,63.22,0.77,0.06,0.78,1.0
JAZZ,113.97,Health%2bCare,23.69,11.13,4.81,0.97,14.6,1.46
LUNA,6.01,Health%2bCare,66.78,49.92,0.09,0.05,0.17,2.0
VIVO,18.77,Health%2bCare,36.8,63.41,0.51,0.06,0.68,1.0
SEM,14.25,Health%2bCare,11.88,16.52,1.2,1.1,1.24,2.0
MNRL,12.28,Energy,35.09,77.13,0.35,0.08,0.57,1.83
WHD,19.63,Energy,11.97,65.8,1.64,0.07,1.86,1.89
GHM,11.96,Technology,62.95,67.11,0.19,0.07,0.28,1.0
SCPL,13.96,Technology,13.82,16.46,1.01,1.12,1.53,1.6
URI,155.51,Technology,10.14,12.9,15.34,1.08,19.52,2.2
ELY,17.13,Consumer%2bNon-Durables,28.08,58.45,0.61,0.06,1.1,1.1
ELF,18.2,Consumer%2bNon-Durables,52.0,73.28,0.35,0.07,0.42,1.45
IPAR,46.81,Consumer%2bNon-Durables,28.72,46.11,1.63,0.05,1.9,3.0
SKX,31.11,Consumer%2bNon-Durables,16.64,56.09,1.87,0.06,2.25,1.36
USFD,19.2,Consumer%2bNon-Durables,23.13,66.63,0.83,0.07,2.38,1.67
